HoodName,Polygon Center point Latitude,Polygon Center point Longitude
160.1448266,43.68876344709437,-79.3990361042456
665.3620352,43.759660793619226,-79.49914214904085
215.3200194,43.75388098866167,-79.42252755962966
624.3093922999999,43.71745933920755,-79.4527361220166
204.75608880000001,43.636839437984705,-79.49603596951229
190.9465021,43.779365284534926,-79.30663261208763
198.7399044,43.66830753680368,-79.29430848076862
364.23238030000005,43.73772015401518,-79.55837374774046
142.7851503,43.70712539553597,-79.34826611804662
312.39900889999996,43.68921714008811,-79.33107373585149
230.12812540000002,43.69026169520307,-79.42810162325969
317.00505699999997,43.62698157399844,-79.54910033700519
507.90608530000003,43.68352308611085,-79.33070565065259
119.4194378,43.712122842776004,-79.49726413638815
337.52517830000005,43.73591229729829,-79.21395751430173
202.9632636,43.63582925414469,-79.45319045555556
405.1890338,43.63846970813435,-79.3294899508594
305.36571180000004,43.75786197749338,-79.37706757967085
322.9278794,43.69606157633875,-79.29558870123527
644.3582046,43.75665589301889,-79.57016590024105
259.9704579,43.7414725080781,-79.55191128848097
242.1307506,43.776336391632896,-79.14827459279958
423.9780414,43.65903457713054,-79.37911863269609
465.1785415,43.70749495700717,-79.28122289740136
403.1589993,43.71050035948516,-79.23127284259748
142.8091398,43.716637558040006,-79.3349103473197
150.2678688,43.67565010645353,-79.45079877193498
276.68257589999996,43.73122445775945,-79.27226011520551
226.7573696,43.66735421054098,-79.47377938141813
184.1473179,43.68928680028288,-79.35660506049915
272.45772900000003,43.65748273995851,-79.53980950029971
251.80988349999998,43.67110363001637,-79.35518948169647
135.2468255,43.643009916556316,-79.56885069888482
277.77777779999997,43.70360818189423,-79.4272271561451
285.2424561,43.745590787503225,-79.5051879027421
371.9379248,43.670820969511766,-79.32380766441035
306.0372809,43.748212521010416,-79.19164167325782
161.4205004,43.65059274458891,-79.41584007844928
332.3984627,43.72707344436667,-79.32029903837216
252.0277781,43.6267887277115,-79.37985279928367
468.34518039999995,43.76843105893065,-79.16927869784976
